timestamp,symbol,side,order_type,price,quantity,order_id,trader_id
1764298917997,AAPL,BUY,LIMIT,149.99,500,1,1038
1764298918019,AAPL,SELL,LIMIT,150.25,1000,2,1092
1764298918049,AAPL,BUY,LIMIT,150.01,5000,3,1079
1764298918086,AAPL,SELL,LIMIT,150.12,5000,4,1057
1764298918087,AAPL,BUY,LIMIT,150.04,5000,5,1005
1764298918170,AAPL,BUY,LIMIT,150.09,2000,6,1062
1764298918175,AAPL,BUY,MARKET,0.0,500,7,1044
1764298918238,AAPL,BUY,LIMIT,149.99,200,8,1037
1764298918309,AAPL,BUY,LIMIT,149.88,1000,9,1006
1764298918314,AAPL,BUY,LIMIT,149.93,100,10,1094
1764298918357,AAPL,SELL,LIMIT,150.04,2000,11,1002
1764298918457,AAPL,BUY,LIMIT,150.0,2000,12,1080
1764298918490,AAPL,SELL,LIMIT,150.08,200,13,1024
1764298918529,AAPL,BUY,LIMIT,149.83,200,14,1072
1764298918610,AAPL,SELL,LIMIT,149.84,1000,15,1081
1764298918643,AAPL,SELL,MARKET,0.0,2000,16,1046
1764298918703,AAPL,SELL,MARKET,0.0,1000,17,1039
1764298918759,AAPL,BUY,MARKET,0.0,200,18,1088
1764298918765,AAPL,BUY,LIMIT,149.7,5000,19,1009
1764298918793,AAPL,BUY,MARKET,0.0,100,20,1036
1764298918850,AAPL,BUY,LIMIT,149.67,1000,21,1094
1764298918906,AAPL,BUY,LIMIT,149.71,200,22,1042
1764298918938,AAPL,BUY,LIMIT,149.75,5000,23,1047
1764298918979,AAPL,BUY,LIMIT,149.81,2000,24,1026
1764298919012,AAPL,BUY,MARKET,0.0,100,25,1046
1764298919026,AAPL,BUY,MARKET,0.0,1000,26,1006
1764298919035,AAPL,BUY,LIMIT,149.78,500,27,1064
1764298919123,AAPL,SELL,LIMIT,149.81,500,28,1077
1764298919177,AAPL,SELL,LIMIT,149.82,200,29,1002
1764298919255,AAPL,BUY,MARKET,0.0,200,30,1025
1764298919337,AAPL,BUY,LIMIT,149.51,500,31,1024
1764298919413,AAPL,SELL,LIMIT,149.65,100,32,1046
